"Domain","IP","Status","Cloudflare"
"pagtracker.com","192.241.150.238","OK","ERROR"
"www.pagtracker.com","System.Object[]","DIFFERENT_IP","ERROR"
"admin-hml.pagtracker.com","192.241.150.238","OK","ERROR"
"api-hml.pagtracker.com","192.241.150.238","OK","ERROR"
"checkout-hml.pagtracker.com","192.241.150.238","OK","ERROR"
"docs-hml.pagtracker.com","192.241.150.238","OK","ERROR"
"hml.pagtracker.com","192.241.150.238","OK","ERROR"
"webhook-hml.pagtracker.com","192.241.150.238","OK","ERROR"
"homolog.pagtracker.com.br","FAILED","ERROR","ERROR"
"traefik.pagtracker.com.br","FAILED","ERROR","ERROR"
"webhooks.pagtracker.com.br","FAILED","ERROR","ERROR"
